start_time:2016-12-04 17:09:51,device_id:00000001,cmd_cnt:35
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0100,_0101,_0102,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-04 17:10:24,1,113.34012-E,23.14927-N,-37.5m,2.5,1.4,2.0,0.000,0.000,2016-12-04,09:10:52,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff0698f,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,err,41430000,41445345,414500,414783,414928,414a51,414c29,err,414e7cc7
2016-12-04 17:10:25,1,113.34012-E,23.14927-N,-37.5m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:10:53,16,12,11,3,4100be1fa813,410100072100,err,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06985,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:26,1,113.34010-E,23.14926-N,-66.3m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:54,16,12,11,3,4100be1fa813,410100072100,err,err,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff56999,412e00,err,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:27,1,113.34010-E,23.14926-N,-66.3m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:55,16,12,11,3,4100be1fa813,410100072100,err,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:28,1,113.34010-E,23.14926-N,-66.3m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:56,16,12,11,3,4100be1fa813,err,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,err,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,err,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:29,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:10:57,17,12,11,3,4100be1fa813,410100072100,err,41030100,err,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,err,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:30,1,113.34010-E,23.14926-N,-66.3m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:58,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,err,41100011,411130,411500ff,411f0000,41210000,41247fee6985,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,err,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:31,1,113.34010-E,23.14926-N,-66.3m,1.4,0.9,1.1,0.000,0.000,2016-12-04,09:10:59,17,12,11,3,4100be1fa813,410100072100,err,err,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,err,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:32,1,113.34010-E,23.14926-N,-66.3m,1.9,1.2,1.5,0.000,0.000,2016-12-04,09:11:00,17,12,11,3,4100be1fa813,410100072100,err,41030100,err,41054b,410680,41077f,410c0000,410d00,410e8a,err,41100011,411130,411500ff,411f0000,41210000,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,err,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:33,1,113.34010-E,23.14926-N,-66.3m,1.7,1.2,1.3,0.000,0.000,2016-12-04,09:11:01,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,err,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff0698f,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
